name,term,freq,prediction_length,domain,trend,seasonal_strength,entropy,hurst,stability,lumpiness
bull,short,H,48,Energy,0.7828788,0.64366764,0.42148492,0.8775636,0.56124514,0.8611128
bull,medium,H,480,Energy,0.7873413,0.6763625,0.38473052,0.856679,0.56124514,0.50420505
bull,long,H,720,Energy,0.7873413,0.6763625,0.38473052,0.8640375,0.56124514,0.42473942
cmip6_1885,short,6H,48,Climate,0.7719097,0.5692952,0.39426395,0.9422791,0.38186103,0.30808526
cmip6_1885,medium,6H,480,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526
cmip6_1885,long,6H,720,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526
era5_1991,short,H,48,Climate,0.6770571,0.64366764,0.39426395,0.65876096,0.38186103,0.30808526
era5_1991,medium,H,480,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526
era5_1991,long,H,720,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526
shmetro,short,15T,48,Transport,0.4522431,0.43922853,0.6077194,0.7127302,0.41557443,1.1170895
shmetro,medium,15T,480,Transport,0.76387334,0.43024164,0.5435928,0.644885,0.5153833,0.3591127
shmetro,long,15T,720,Transport,0.7072974,0.43189073,0.5435928,0.6320738,0.5153833,0.4379917
era5_2006,short,H,48,Climate,0.6770571,0.64366764,0.39426395,0.65876096,0.38186103,0.30808526
era5_2006,medium,H,480,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526
era5_2006,long,H,720,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526
beijing_subway_30min,short,30T,48,Transport,0.6787313,0.33035883,0.52196395,0.785245,0.46334228,1.1084806
beijing_subway_30min,medium,30T,480,Transport,0.81543624,0.2930068,0.45359188,0.62888634,0.56315064,0.35050374
beijing_subway_30min,long,30T,720,Transport,0.7588603,0.2930068,0.45359188,0.60587645,0.56315064,0.42938274
gfc12_load,short,H,48,Energy,0.7828788,0.64366764,0.42148492,0.8775636,0.56124514,0.8611128
gfc12_load,medium,H,480,Energy,0.7873413,0.6763625,0.38473052,0.856679,0.56124514,0.50420505
gfc12_load,long,H,720,Energy,0.7873413,0.6763625,0.38473052,0.8640375,0.56124514,0.42473942
buildings_900k,short,H,48,Energy,0.7828788,0.64366764,0.42148492,0.8775636,0.56124514,0.8611128
buildings_900k,medium,H,480,Energy,0.7873413,0.6763625,0.38473052,0.856679,0.56124514,0.50420505
buildings_900k,long,H,720,Energy,0.7873413,0.6763625,0.38473052,0.8640375,0.56124514,0.42473942
london_smart_meters_with_missing,short,30T,48,Energy,0.7828788,0.64366764,0.42148492,0.8775636,0.56124514,0.8611128
london_smart_meters_with_missing,medium,30T,480,Energy,0.7873413,0.6763625,0.38473052,0.856679,0.56124514,0.50420505
london_smart_meters_with_missing,long,30T,720,Energy,0.7873413,0.6763625,0.38473052,0.8640375,0.56124514,0.42473942
residential_pv_power,short,T,48,Energy,0.73216265,0.27438918,0.48414165,0.88995534,0.55530816,0.8775919
residential_pv_power,medium,T,480,Energy,0.77484846,0.21714371,0.39896852,0.8690708,0.567379,0.652987
residential_pv_power,long,T,720,Energy,0.7672962,0.2187928,0.39896852,0.87269187,0.5609136,1.285476
pems_bay,short,5T,48,Transport,0.47829548,0.4515761,0.5220687,0.7501785,0.404455,1.2020383
pems_bay,medium,5T,480,Transport,0.8399173,0.4509209,0.34391308,0.9300689,0.5163347,0.44406113
pems_bay,long,5T,720,Transport,0.77746755,0.45257,0.34391308,0.816425,0.50986934,1.3671979
wind_power,short,4S,60,Energy,0.8383012,0.18288171,0.39978474,0.8690708,0.644888,0.6233697
wind_power,medium,4S,600,Energy,0.8383012,0.18222651,0.39896852,0.87269187,0.644888,0.6233697
wind_power,long,4S,900,Energy,0.8371426,0.18387559,0.399247,0.87269187,0.644888,0.39443398
cmip6_1975,short,6H,48,Climate,0.7719097,0.5692952,0.39426395,0.9422791,0.38186103,0.30808526
cmip6_1975,medium,6H,480,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526
cmip6_1975,long,6H,720,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526
elecdemand,short,30T,48,Energy,0.7828788,0.64366764,0.42148492,0.8775636,0.56124514,0.8611128
elecdemand,medium,30T,480,Energy,0.7873413,0.6763625,0.38473052,0.856679,0.56124514,0.50420505
elecdemand,long,30T,720,Energy,0.7873413,0.6763625,0.38473052,0.8640375,0.56124514,0.42473942
wiki-rolling_nips,short,D,30,Web,0.6781791,0.34920278,0.52196395,0.70387816,0.46334228,1.149947
